book_id,copy_count,access_type_sample
B_04274db9794d45,1,
B_042846aa02d1a3,1,
B_042adc29604fb2,1,
B_04317ae599b8f3,1,
B_04397eaebf1cc3,1,
B_0439c0ff477118,1,
B_043ae6df97f96d,1,
B_043be50449e0cd,2,
B_043ddfc3ff481f,4,
B_043e7c0b4db329,1,
B_043eb8ad3903b1,1,
B_043edd625a0b25,1,
B_043fdbba2ad804,1,
B_0441774bbbe224,1,
B_0442348288be18,1,
B_0442f188f37477,1,
B_044665fbb7a58a,4,
B_0449bf7196521c,1,
B_044a0c9f7c2b82,1,
B_044a0e86d44029,6,
B_044a7821b545ed,1,
B_044b719ddd3c2d,2,
B_044fa88b223ba6,1,
B_045074d6f85073,4,
B_0451e16527c3fc,1,
B_0456705d5b2fe6,1,
B_0456e068f4d5ad,1,
B_04576011e42bc1,1,
B_045d609d329681,4,
B_045eec97f462d8,2,
B_046592533296d1,2,Dapat dipinjam
B_04698757d1e163,2,
B_0469b941aa743d,2,
B_046d469308f5ee,4,
B_046d626e2c8b0c,2,
B_046e508b0387b9,8,
B_046f34654ebe46,1,
B_046fe25ab880b5,1,
B_04717208584f59,4,
B_04735803e015de,1,
B_047369f25ef017,2,
B_04756d3bf2254f,4,
B_0477c06d74c0f7,1,
B_04780a03c172fe,1,
B_047d7d73ada7ef,1,
B_047e36e5d36d9b,4,
B_047e4180c5ae3e,2,
B_0481ed74219947,2,
B_0482539742cdcd,2,
B_048390d408fc4a,1,
B_04903865121129,4,
B_0490404e95c86c,1,
B_04911571c87905,8,
B_0495f904145d42,3,
B_049616a031f85e,1,
B_0497adfdb5bbe8,4,
B_04a0fdbb1f9b95,1,
B_04a130daddf782,2,
B_04a1620ec7b76c,1,
B_04a1bf88098152,1,
B_04a497fe367c25,4,
B_04a9fb003b2fa2,4,
B_04aaa57589c3b6,1,
B_04b0f1b558dcfc,1,
B_04b491eedf5461,2,
B_04bcad67b02ac3,2,
B_04c04f7a8c91c8,2,
B_04c7f4f051c32a,1,
B_04cd716c04892e,3,
B_04d0ad47f5f089,2,
B_04d40c2c501b91,1,
B_04d58a3f91cda8,1,
B_04d63dc7d7c49a,2,
B_04da72fe7e2fdc,1,
B_04e30adf819f60,2,
B_04e73c4be198b2,1,
B_04e75c23d3f240,2,
B_04e79ad2ed0e80,1,
B_04ec898d22d736,1,
B_04f130a5dbcee7,1,
B_04f247d4cae9e6,4,
B_04f279babd8e8e,2,
B_04f31637333f8e,2,
B_04f4d8e2ea8739,1,
B_04f8c37b60d80e,1,
B_04f8e3ae793a99,1,
B_04ff8dc40dde58,1,
B_0502c5965319a3,1,
B_0503d2ced14285,1,
B_05046c993c702b,1,
B_05063d9ba3010e,2,
B_050d411f28663a,1,
B_050e7ca261cea4,1,
B_050ea7122aa573,2,
B_0512fc9cb60a43,5,
B_05169bf9c34646,4,
B_05170d38422633,1,
B_05174519addbd3,1,
B_051c259f36a25e,1,
B_0520cb81ad1675,2,
B_0521a641009c1b,1,
B_0523b1d2237dc5,2,
B_05242bedebb812,4,
B_0524fe380b59f3,1,
B_052509607a9c22,1,
B_05272e78b257b6,1,
B_05277969209124,1,
B_052973e8c67f84,1,
B_052be4619a2492,1,
B_052cfa1735d11e,2,
B_052d54bfb45cd2,1,
B_053656b6a73335,1,
B_053791fc0608ab,1,
B_05384f1b367760,1,
B_0538e289ca736a,1,
B_053f6e5e286387,1,
B_0541a6dd4b2d9a,1,
B_0543d5fe925ca4,1,
B_054560582e89f0,4,
B_05458c1936fb35,2,
B_054613586dd6f7,2,
B_054b0fb600eb62,2,
B_054b1696f3e52a,1,
B_054bfecd5f4cf7,2,
B_054c5f80c19c4b,2,
B_054cc106fce85a,1,
B_05559ddafa19dd,2,
B_05585f6b2f1537,2,
B_0558b4841dc6d9,1,
B_0558dc29c810cc,2,
B_055ab894131321,1,
B_055d3af43c1d85,2,
B_055df5171a18d3,1,
B_055e2795c9dede,1,
B_055e6e39ee0298,1,
B_055ff1fc42274a,1,
B_05602cc15ef9d1,2,
B_05604dd0aa7934,2,
B_0561a1a53be327,2,
B_0561b1492929a3,2,
B_05638cd3f12df9,2,
B_0563c76d1aef8d,2,
B_056fbce5db8b19,1,
B_056ff0e2e9058b,1,
B_057179aa83b2c3,1,
B_057290eb34da37,2,Dapat dipinjam
B_05730c1c9de451,1,
B_057af36ffd393c,1,
B_057d5aff35651f,2,
B_057e692be5a092,1,
B_058185f96b31ab,1,
B_058284bd4926ba,1,
B_05834eabbaa845,4,
B_0584c401a86c15,2,
B_058589ac90c4f5,22,
B_0587a93ebdcbb7,1,
B_058adb7fd2c173,2,
B_058b587a062b7f,1,
B_058c9d14373cf3,2,
B_058df651e6498c,1,
B_05904e5b00454a,1,
B_0590d6eb1e6db8,2,
B_0591f3fe7d19a3,1,
B_059574205b92da,1,
B_059636f3b1b7c2,4,
B_0596a6b13ca2d0,1,
B_059a9398ace439,22,
B_059d53136725b2,1,
B_059d7cafefac9b,2,
B_059ff2ec3bb7cd,1,
B_05a03ac573c00b,2,
B_05a15aff753b63,1,
B_05a1e3606a6159,2,
B_05a3a4de4bf205,1,
B_05a515043cb69d,1,
B_05a5380f01ffaa,1,
B_05a692f5750f60,4,
B_05a794edabc509,1,
B_05a7a8b9a8799b,2,Dapat dipinjam
B_05aa030947165c,1,
B_05aff9b83738a5,1,
B_05b288bc1ee597,2,
B_05b3a4b5f1a640,2,
B_05b486bbe21e2e,1,
B_05b662aa52420e,1,
B_05b75b34bcf169,1,
B_05bc4e9c3e42f3,4,
B_05c1299ef61be2,2,
B_05c5d042f1a4ec,2,Dapat dipinjam
B_05c629084f74ac,1,
B_05c64429bca6e9,2,
B_05c65c21e77819,1,
B_05c6ad03400542,1,
